ref,n_props,prop_type
9470090,1,
9472004,1,
9471841,1,
9473011,1,
9472659,1,
9471107,1,
9470692,1,
9470900,1,
9469016,1,
9470237,1,
9470933,1,
9421494,1,
9472867,1,
9472037,1,
9470475,1,
9472770,1,
9469793,1,
9469482,1,
9471688,1,
9470807,1,
9473156,1,
9470478,1,
9473698,1,
9470939,1,
9473241,1,
9470123,1,
9468725,1,
9470479,1,
9471104,1,
9465412,1,
9470801,1,
9469089,1,
9472827,1,
9467988,1,
9469710,1,
9473760,1,
9474036,2,
9468579,1,
9467764,1,
9470525,1,
9470606,1,
9467613,1,
9470847,1,
9471545,1,
9468262,1,
9468221,1,
9468304,1,
9468779,1,
9471392,1,
9471519,1,
9470815,1,
9470217,1,
9468399,1,
9469716,1,
9468588,1,
9469728,1,
9469656,1,
9465419,1,
9469336,1,
9471931,1,
9468887,1,
9472876,1,
9473561,1,
9471705,1,
9467807,1,
9467671,1,
9469393,1,
9470041,1,
9469754,1,
9472044,1,
9463260,1,
9468444,1,
9472818,1,
9469342,1,
9470223,1,
9472376,1,
9467725,1,
9473775,1,
9469679,1,
9469758,1,
9469777,1,
9473562,1,
9468390,1,
9469286,1,
9469438,1,
9469247,1,
9469416,1,
9469863,1,
9470064,1,
9468469,1,
9472998,1,
9467553,1,
9470463,1,
9470884,1,
9470055,1,
9470615,1,
9473044,1,
9471344,1,
9468664,1,
9468703,1,
9468622,1,
9471127,1,
9467095,1,
9473333,1,
9470468,1,
9468118,1,
9469838,1,
9471136,1,
9468319,1,
9471718,1,
9473952,1,
9465269,1,
9465593,1,
9467321,1,
9469719,1,
9469974,1,
9470454,1,
9471810,1,
9470412,1,
9469787,1,
9468203,1,
9470460,1,
9467582,1,
9470533,1,
9467549,1,
9471111,1,
9467518,1,
9471141,1,
9468743,1,
9472833,1,
9449134,1,
9472779,1,
9472785,1,
9472914,1,
9472955,1,
9469693,1,
9471072,1,
9469933,1,
9470810,1,
9468547,1,
9468507,1,
9467526,1,
9467991,1,
9473203,1,
9469647,1,
9467975,1,
9473250,1,
9469664,1,
9473629,1,
9471768,1,
9470736,1,
9470497,1,
9467956,1,
9467051,1,
9467733,1,
9468761,1,
9473153,1,
9472351,1,
9469858,12,
9471373,1,
9471628,1,
9471569,1,
9471675,1,
9471205,1,
9471481,1,
9471734,1,
9471296,1,
9472431,1,
9467856,1,
9468765,1,
9467758,1,
9467945,1,
9467905,1,
9467599,1,
9467662,1,
9474056,1,
9467942,1,
9468173,1,
9469970,1,
9468930,1,
9471130,1,
9473646,1,
9473627,1,
9471342,1,
9470737,1,
9472105,1,
9472765,1,
9468555,1,
9473582,1,
9471200,1,
9471978,1,
9472099,1,
9472530,1,
9470631,1,
9468010,1,
9471382,1,
9473081,1,
9469555,1,
9471749,1,
9468500,2,
9471120,1,
9469831,1,
9469917,1,
9469171,1,
9471516,1,
9473335,1,
9468133,1,
9468749,1,
9469590,1,
9471006,1,
9466632,1,
9468157,1,
9471386,1,
9468258,1,
9468079,1,
9468314,1,
