year,quarter,region,city,district,prop_type,prop_type_en,prop_class,prop_class_en,deed_count,total_price,area_m2,avg_ppm2,max_ppm2,min_ppm2
2024,1,الرياض,الرياض,أحد,أرض,land,سكني,residential,10,4957149.5,5005.27,1128.69663913235,1216.0,1047.62
2024,1,الرياض,الرياض,أحد,شقة,apartment,سكني,residential,2,1030000.0,405.81,,,
2024,1,الرياض,الرياض,أحد,فيلا,villa,سكني,residential,10,9326684.0,3201.4,2947.49084745763,3166.67,2811.83
2024,1,الرياض,الرياض,أم الحمام الشرقي,أرض,land,تجاري,commercial,3,150652694.0,40815.98,,,
2024,1,الرياض,الرياض,أم الحمام الشرقي,أرض,land,سكني,residential,23,39308000.0,5473.35,5151.23010130246,11555.56,3418.8
2024,1,الرياض,الرياض,أم الحمام الشرقي,فيلا,villa,سكني,residential,3,3600000.0,522.78,,,
2024,1,الرياض,الرياض,أم الحمام الغربي,أرض,land,تجاري,commercial,1,3000000.0,6000.0,,,
2024,1,الرياض,الرياض,أم الحمام الغربي,أرض,land,سكني,residential,12,13548484.0,4648.07,3204.87993803253,3750.0,3017.24
2024,1,الرياض,الرياض,إشبيلية,أرض,land,تجاري,commercial,12,60843425.0,14597.62,4258.53440401888,5416.67,3115.28
2024,1,الرياض,الرياض,إشبيلية,أرض,land,سكني,residential,100,118319517.36,41370.63,2882.7593677985,4050.0,1452.23
2024,1,الرياض,الرياض,إشبيلية,شقة,apartment,سكني,residential,147,113029331.37,22201.541,5047.00175471202,6070.52,4673.56
2024,1,الرياض,الرياض,إشبيلية,فيلا,villa,سكني,residential,34,68124736.48,10994.14,6185.34631445837,7166.67,5428.22
2024,1,الرياض,الرياض,الأندلس,أرض,land,تجاري,commercial,4,9848320.0,2890.0,,,
2024,1,الرياض,الرياض,الأندلس,أرض,land,سكني,residential,18,34192125.38,10250.23,3555.84855905067,4000.0,3200.0
2024,1,الرياض,الرياض,الأندلس,شقة,apartment,سكني,residential,17,10116200.0,2159.26,5017.75513354948,5395.91,4615.71
2024,1,الرياض,الرياض,الأندلس,فيلا,villa,سكني,residential,17,28966668.0,4479.77,6942.53437645566,7508.98,6535.95
2024,1,الرياض,الرياض,الإزدهار,أرض,land,تجاري,commercial,4,95303592.0,7802.07,,,
2024,1,الرياض,الرياض,الإزدهار,أرض,land,سكني,residential,5,11450000.0,2003.31,,,
2024,1,الرياض,الرياض,الإزدهار,شقة,apartment,سكني,residential,31,33010880.0,3888.41,8288.44652806755,9071.62,7452.49
2024,1,الرياض,الرياض,الإزدهار,فيلا,villa,سكني,residential,7,13982800.0,1503.59,9627.34664339534,11647.73,8777.7
2024,1,الرياض,الرياض,البديعة,أرض,land,سكني,residential,5,2681282.29,1459.27,,,
2024,1,الرياض,الرياض,البديعة,عمارة,building,سكني,residential,2,520000.0,217.8,,,
2024,1,الرياض,الرياض,البديعة,فيلا,villa,سكني,residential,2,3021350.88,981.04,,,
2024,1,الرياض,الرياض,البرية,أرض,land,تجاري,commercial,5,3040000.0,3310.0,,,
2024,1,الرياض,الرياض,البرية,أرض,land,سكني,residential,20,19097500.0,19130.15,937.876577662206,1000.0,634.92
2024,1,الرياض,الرياض,البرية,فيلا,villa,سكني,residential,1,700000.0,194.57,,,
2024,1,الرياض,الرياض,البطيحا,عمارة,building,سكني,residential,1,300000.0,161.89,,,
2024,1,الرياض,الرياض,البيان,أرض,land,تجاري,commercial,24,118883815.58,52141.91,2117.89417219422,2604.62,1973.12
2024,1,الرياض,الرياض,البيان,أرض,land,سكني,residential,207,294730440.37,114704.4975,2322.98550026422,3026.67,2075.0
2024,1,الرياض,الرياض,البيان,شقة,apartment,سكني,residential,19,11233210.0,2258.21,5020.07147941848,6593.41,3381.32
2024,1,الرياض,الرياض,البيان,فيلا,villa,سكني,residential,17,14533349.53,3131.0,4739.12880967778,5226.8,4090.27
2024,1,الرياض,الرياض,التعاون,أرض,land,تجاري,commercial,2,12983061.6,1792.5,,,
2024,1,الرياض,الرياض,التعاون,أرض,land,سكني,residential,5,13423705.0,2387.5,,,
2024,1,الرياض,الرياض,التعاون,شقة,apartment,سكني,residential,16,15204951.91,2319.21,7634.62250870353,9046.05,6038.18
2024,1,الرياض,الرياض,التعاون,فيلا,villa,سكني,residential,5,18660000.0,1678.68,,,
2024,1,الرياض,الرياض,الجرادية,أرض,land,تجاري,commercial,1,10000.0,366.4,,,
2024,1,الرياض,الرياض,الجرادية,أرض,land,سكني,residential,6,1198000.0,1331.03,832.106114126237,1000.0,415.02
2024,1,الرياض,الرياض,الجرادية,فيلا,villa,سكني,residential,22,18472983.0,4884.43,3783.97964309537,5177.3,2675.23
2024,1,الرياض,الرياض,الجزيرة,أرض,land,تجاري,commercial,3,15350000.0,6000.0,,,
2024,1,الرياض,الرياض,الجزيرة,أرض,land,سكني,residential,10,16112245.0,6356.0,2862.34331955923,3388.43,2066.12
2024,1,الرياض,الرياض,الجزيرة,شقة,apartment,سكني,residential,14,12606844.0,1863.4,6651.84913239248,7588.57,6152.23
2024,1,الرياض,الرياض,الجزيرة,فيلا,villa,سكني,residential,6,8257642.0,2904.0,3372.93388429752,3615.7,3099.17
2024,1,الرياض,الرياض,الجنادرية,أرض,land,تجاري,commercial,50,168444085.75,94696.035,1619.6981898606,2000.0,1498.96
2024,1,الرياض,الرياض,الجنادرية,أرض,land,سكني,residential,390,519792558.33,335041.98,1750.12388747996,1900.0,1500.0
2024,1,الرياض,الرياض,الجنادرية,شقة,apartment,سكني,residential,8,4441150.0,1087.41,4799.04883971937,5316.47,4523.28
2024,1,الرياض,الرياض,الجنادرية,فيلا,villa,سكني,residential,412,344997630.93,126136.156,2522.94640476598,2682.43,2375.0
2024,1,الرياض,الرياض,الحائر,أرض,land,زراعي,agricultural,1,850000.0,2000.0,,,
2024,1,الرياض,الرياض,الحائر,أرض,land,تجاري,commercial,10,13189468.0,33609.89,394.913004366605,450.0,321.43
2024,1,الرياض,الرياض,الحائر,أرض,land,سكني,residential,56,20045735.31,47378.06,328.393616389929,523.72,250.0
2024,1,الرياض,الرياض,الحائر,فيلا,villa,سكني,residential,3,1490000.0,598.85,,,
2024,1,الرياض,الرياض,الحزم,أرض,land,تجاري,commercial,10,17633326.0,8876.54,1819.01996157947,1900.0,1750.0
2024,1,الرياض,الرياض,الحزم,أرض,land,سكني,residential,49,45889522.47,36152.81,1565.25949828118,1944.44,1250.0
2024,1,الرياض,الرياض,الحزم,شقة,apartment,سكني,residential,57,29865406.54,8682.67,3528.42930169375,4203.81,2705.04
2024,1,الرياض,الرياض,الحزم,فيلا,villa,سكني,residential,71,70719448.54,17872.7,3993.57846824235,4630.73,3399.08
2024,1,الرياض,الرياض,الحمراء,أرض,land,تجاري,commercial,31,364686673.86,69464.12,5309.34395601336,5600.0,5100.0
2024,1,الرياض,الرياض,الحمراء,أرض,land,سكني,residential,16,64137314.0,14874.0,4635.12148518076,5250.0,1222.22
2024,1,الرياض,الرياض,الحمراء,شقة,apartment,سكني,residential,52,44048370.04,7986.005,5685.333351901,7282.35,3875.97
2024,1,الرياض,الرياض,الحمراء,فيلا,villa,سكني,residential,10,29090840.0,3979.59,7679.11990549321,8818.34,6518.52
2024,1,الرياض,الرياض,الخالدية,أرض,land,تجاري,commercial,3,8900000.0,2114.92,,,
2024,1,الرياض,الرياض,الخالدية,أرض,land,سكني,residential,20,25220810.0,7751.43,1627.91381595276,3921.57,1283.04
2024,1,الرياض,الرياض,الخالدية,فيلا,villa,سكني,residential,4,3340000.0,1272.49,,,
2024,1,الرياض,الرياض,الخزامى,أرض,land,تجاري,commercial,56,2237404307.95,144631.0853,11419.6477959934,15494.16,8739.34
2024,1,الرياض,الرياض,الخزامى,أرض,land,سكني,residential,225,3217416463.74,274467.662,10291.3222075955,13569.34,808.8
2024,1,الرياض,الرياض,الخزامى,شقة,apartment,سكني,residential,25,37387070.19,3744.55,9977.93779985579,10608.93,9472.76
2024,1,الرياض,الرياض,الخزامى,فيلا,villa,سكني,residential,1,4748285.41,375.0,,,
2024,1,الرياض,الرياض,الخليج,أرض,land,تجاري,commercial,8,26424361.0,7216.12,3313.75182948739,4500.0,1862.73
2024,1,الرياض,الرياض,الخليج,أرض,land,سكني,residential,35,46536415.21,20345.375,2609.84290030211,3230.77,1500.0
2024,1,الرياض,الرياض,الخليج,شقة,apartment,سكني,residential,29,19939149.0,4237.06,5033.09831646446,5222.65,4684.66
2024,1,الرياض,الرياض,الخليج,فيلا,villa,سكني,residential,25,46472212.3,8926.03,4946.0170455017,6056.37,4184.42
2024,1,الرياض,الرياض,الخير,أرض,land,تجاري,commercial,63,176187049.0,73735.515,2342.19030557312,3187.5,1799.1
2024,1,الرياض,الرياض,الخير,أرض,land,سكني,residential,1556,1388515453.73,905158.405,1502.69315119105,1760.0,1217.95
2024,1,الرياض,الرياض,الدار البيضاء,أرض,land,تجاري,commercial,44,102292172.24,50941.17,1687.50432337971,2971.43,1175.0
2024,1,الرياض,الرياض,الدار البيضاء,أرض,land,سكني,residential,42,27265092.82,20056.78,1355.7073761893,1600.0,1175.0
2024,1,الرياض,الرياض,الدار البيضاء,شقة,apartment,سكني,residential,138,59359904.19,20720.99,2867.39039925944,3567.79,2265.39
2024,1,الرياض,الرياض,الدار البيضاء,فيلا,villa,سكني,residential,117,114537487.58,37650.37,3171.76196731281,4000.0,2272.73
2024,1,الرياض,الرياض,الدريهمية,أرض,land,سكني,residential,11,18987974.45,6404.9,2513.6583989535,3367.92,2000.0
2024,1,الرياض,الرياض,الدريهمية,شقة,apartment,سكني,residential,16,9254219.01,2507.355,3497.54662756862,3744.02,3230.97
2024,1,الرياض,الرياض,الدريهمية,فيلا,villa,سكني,residential,7,4837000.0,1106.44,3730.3634594294,4409.86,2984.88
2024,1,الرياض,الرياض,الدفاع,أرض,land,تجاري,commercial,1,1320000.0,1200.0,,,
2024,1,الرياض,الرياض,الدوبية,أرض,land,سكني,residential,1,1150000.0,266.69,,,
2024,1,الرياض,الرياض,الديرة,أرض,land,تجاري,commercial,1,3500000.0,678.65,,,
2024,1,الرياض,الرياض,الديرة,أرض,land,سكني,residential,1,650000.0,12.55,,,
2024,1,الرياض,الرياض,الديرة,شقة,apartment,سكني,residential,1,140000.0,111.79,,,
2024,1,الرياض,الرياض,الرائد,أرض,land,تجاري,commercial,1,61673344.0,5000.0,,,
