,coef,std_err,z,p_value,ci_low,ci_high,train_deals,premium_%,ppm2_400m2_2025Q4
الرياض/أخرى,0.05204938714231294,0.057438812617694006,0.9061710152113964,0.36484534195696805,-0.060530685588367314,0.1646294598729932,224,11.068605400381948,2450.428817580918
الرياض/أم الحمام الغربي,0.5886605628060524,0.0719011044253806,8.187086519887437,2.67625783042841e-16,0.4477343981323064,0.7295867274797984,145,89.94969096831844,4190.726938197037
الرياض/إشبيلية,0.6750320713169258,0.05417318853112572,12.460630242007626,1.2239946800793864e-35,0.5688526217959193,0.7812115208379322,820,107.08529493738399,4568.777762019728
الرياض/اشبيليا,0.494299005316373,0.07246963908429391,6.820773658627212,9.055151516379381e-12,0.35225851271115693,0.6363394979215891,92,72.84542452475861,3813.3674922420464
الرياض/الازدهار,1.0817689958628933,0.05963024723746064,18.141279736021442,1.5048593283889734e-73,0.9648937112774705,1.1986442804483162,249,211.0232554588028,6861.888157924603
الرياض/الامانة,0.8230496016330817,0.0640292357021672,12.854278090425868,8.138205936806269e-38,0.697552299656834,0.9485469036093295,117,140.1222795096067,5297.64960433668
الرياض/الاندلس,0.6965930008309803,0.05784852001131652,12.041673679719214,2.1455788064526353e-33,0.5832099016087999,0.8099761000531607,359,111.59872844914985,4668.354483124648
الرياض/البديعة,0.13059252701741267,0.05500809270105147,2.374060262862312,0.017593678756715553,0.02277666532335179,0.23840838871147355,695,20.14402325693405,2650.6534028011733
الرياض/البرية,-0.9135430107048975,0.06577847182783035,-13.888176257667098,7.471352321480469e-44,-1.042468815487445,-0.7846172059223501,143,-57.709787376920474,933.0193292663961
الرياض/البيان,0.2596349007580675,0.051879550462830056,5.0045711352893685,5.598653486595052e-07,0.1579509818509206,0.3613188196652144,957,36.692460785118385,3015.749984853521
الرياض/التعاون,1.1920354806022928,0.05585483390541857,21.34167085020463,4.659930502907526e-101,1.0825600061476723,1.3015109550569133,437,247.28097222093925,7661.816757850291
الرياض/الجرادية,-0.09518499904533012,0.07162576333321326,-1.3289212514569086,0.18387395178020172,-0.2355714951784281,0.045201497087767856,210,-4.13761333056658,2114.944668388325
الرياض/الجزيرة,-0.29049678308831384,0.06560946785545325,-4.427665588270255,9.52584374100421e-06,-0.4190913400850022,-0.16190222609162547,319,-21.14569519146664,1739.7072754861047
الرياض/الجنادرية,-0.5461816686988251,0.050530095538871556,-10.8090369288667,3.1192754515498088e-27,-0.6452206559550133,-0.44714268144263686,7087,-38.936334219418924,1347.2048721280794
الرياض/الحائر,-1.2922137202635484,0.05858940481200233,-22.055416408647865,8.474814041014869e-108,-1.407048953695073,-1.1773784868320238,398,-71.04088610062766,638.9046389375661
