model,RMSE_log,MAE_log,R2_log,MAPE_%,MedAPE_%,within_10%,within_20%,MAE_SAR,fold,secs
OLS saturated,0.4373939252189148,0.2933895915697094,0.7712885034110071,41.04570290396185,20.68611678755336,26.34328567817319,48.18695053787602,258328.5326462625,1,7
XGBoost tuned,0.4130048429404349,0.2665609470420261,0.7960833018942888,36.21466301045323,17.053007812500002,32.589950285088335,56.00089880066287,236438.87789022565,1,6
CatBoost tuned,0.4186227920170177,0.2705609236135771,0.7904979670755719,36.87682872765377,17.311909993590994,31.80349970508104,55.23410948515575,246180.20861617813,1,905
OLS saturated,0.4352693754054919,0.2914163594623428,0.7713371253899751,40.85495126827602,20.49207665089047,25.43886751116479,48.58860208409404,255461.0635038307,2,6
XGBoost tuned,0.4111093284031947,0.2650790190739424,0.7960169424742947,35.91649191319345,16.855142988929888,32.87363424430526,56.225598966379245,234981.40152798308,2,7
CatBoost tuned,0.4146052178790075,0.26716546961575,0.7925330313809333,36.48043976289287,17.00982610726447,32.514113979159056,55.92506249473359,241148.348483886,2,1033
OLS saturated,0.4387432038734981,0.2919277092730135,0.7666053246762613,41.507530734339504,20.671504732540924,26.24778810774373,48.49029576159312,251364.96026942623,3,4
XGBoost tuned,0.4147915709474553,0.2659406578003123,0.791392468476199,36.87263526986944,16.924766791044775,32.27817880515687,56.18627643737887,230264.2676791106,3,5
CatBoost tuned,0.4212254793060993,0.2695385664145027,0.7848707785754881,37.66364955808776,17.239818391541853,31.76979468022358,55.55149846923012,243095.29417967185,3,704
OLS saturated,0.4334529231646943,0.289816597688664,0.7729482264867067,40.23887240351465,20.258842605714342,25.92478161952644,49.52672527595989,259903.4627554429,4,4
XGBoost tuned,0.4090063390596805,0.2634961463988618,0.7978372650079208,35.48829920759408,16.699947916666666,33.00283683959217,56.30143527230851,238576.39293982423,4,6
CatBoost tuned,0.4126163040127397,0.2663408157576962,0.7942528654807628,36.1124186892442,16.871648966041036,32.269752548942506,55.89416622194759,244884.06822331343,4,701
OLS saturated,0.4350726232446463,0.2906086808175506,0.7741993930187703,40.42760867578538,20.512541507482425,26.00061792545572,48.63354211723731,258559.71587667044,5,4
XGBoost tuned,0.4121616985538827,0.2652625557464865,0.7973545511372029,35.71183561658097,16.78887044952491,32.62365530994579,56.3576103137376,234214.95636753752,5,7
CatBoost tuned,0.4165658126301576,0.269023282503548,0.79300071671902,36.32549643382247,17.135293350158033,31.98887734179704,55.4784709153723,243313.4692834772,5,709
