split,seed,R2_base,R2_lag,dR2,MedAPE_base,MedAPE_lag,dMedAPE
random split,42,0.8016830006349149,0.8020555384921166,0.0003725378572017046,16.660380408653847,16.401259072580647,-0.25912133607319987
out of time,42,0.5260069613534473,0.5147359941463843,-0.011270967207062998,28.54509597398002,28.69420208333333,0.14910610935331192
random split,7,0.8012896753318556,0.8019753080459683,0.000685632714112705,16.645629392905427,16.380161764705882,-0.26546762819954495
out of time,7,0.5143535176483219,0.5077873104819266,-0.0065662071663953325,28.80384973404255,28.496594328703708,-0.307255405338843
random split,101,0.801020258259312,0.8018708940986335,0.0008506358393215452,16.61226743277048,16.631488414704886,0.019220981934406467
out of time,101,0.5090927968917915,0.530172580394997,0.021079783503205496,28.11154667515997,27.44215277777778,-0.6693938973821929
random split,202,0.8015588484294405,0.8018568569636085,0.0002980085341680594,16.665456144957982,16.48967456320135,-0.17578158175663106
out of time,202,0.508570102151972,0.49342670825726265,-0.015143393894709312,28.32300923831071,28.538734723854287,0.21572548554357596
random split,303,0.8015892637955895,0.8016345025778261,4.523878223661182e-05,16.553760345925294,16.408800422138835,-0.14495992378645894
out of time,303,0.5188958209758827,0.505522837080361,-0.013372983895521662,28.05038046696279,28.096214045810576,0.04583357884778749
