district,train_deals,test_deals,depth,MedAPE_local,MedAPE_citywide,gain_pp
الرياض/الوسام,1994,481,6,2.6480146635431634,8.39162901967008,5.743614356126917
الرياض/عكاظ,2368,667,6,11.770886714514868,16.381540011695762,4.610653297180894
الرياض/العزيزية,1855,456,4,27.19860892442658,30.890211340087646,3.691602415661066
الرياض/بدر,3705,971,4,18.188321064632483,20.55234670688252,2.364025642250038
الرياض/المهدية,3193,815,4,20.846649935301826,23.198364441944,2.3517145066421747
الرياض/النظيم,2465,613,4,15.102406142625261,16.491691305254925,1.3892851626296636
الرياض/الخير,22318,5577,8,10.15065916289397,11.318471050797209,1.1678118879032393
الرياض/العلا,1794,478,4,12.817839770924694,13.822715243585842,1.0048754726611477
الرياض/لبن,3654,916,4,23.647038879716806,24.48395457282742,0.8369156931106154
الرياض/الجنادرية,8324,2091,4,13.917357624352746,14.560024974392302,0.6426673500395559
الرياض/عريض,13014,3289,6,14.495643959197308,14.998283128016435,0.5026391688191278
الرياض/الزاهر,2387,601,4,15.732329974287609,16.135248352221115,0.4029183779335064
الرياض/الرمال,7895,1958,4,15.042943742108669,15.443464775209303,0.4005210331006346
الرياض/شرق الرياض,10621,2658,4,16.5006262259879,16.848094614896016,0.3474683889081156
الرياض/النرجس,5467,1350,4,15.836805761307957,16.154190662886432,0.31738490157847465
الرياض/المونسية,2142,494,4,19.57539617645116,19.738741126484662,0.16334495003350114
الرياض/طويق,3128,764,4,18.292623270956987,18.333478430078255,0.0408551591212678
الرياض/نمار,11158,2800,6,16.425595956631394,16.11909311643418,-0.30650284019721497
الرياض/قرطبة,1817,445,4,17.256697278247447,16.888351616745382,-0.36834566150206527
الرياض/الدار البيضاء,1861,499,4,22.3778014332554,22.006918875266468,-0.37088255798893144
الرياض/السحاب,2422,619,8,36.3314532760785,35.791090131604456,-0.5403631444740427
الرياض/الملقا,3109,775,4,18.70298910213151,17.799481687779714,-0.9035074143517967
الرياض/الياسمين,2859,685,4,19.018732446147013,17.953402979531603,-1.0653294666154096
